Comment,Designator,Footprint,LCSC Part Number
74LS163,U1,SOIC-16_3.9x9.9mm_P1.27mm,C2675457
1.3kR,"R4,R2,R3,R1",R_1206_3216Metric,C1471
100nF,"C2,C19,C9,C4,C13,C23,C5,C10,C16,C29,C14,C33,C26,C3,C15,C25,C17,C6,C30,C1,C21",C_1206_3216Metric,C1945
74HC14,"U6,U7,U2",SO-14_3.9x8.65mm_P1.27mm,C5605
10R,"R11,R9,R12,R8,R7,R10,R6,R5",R_1206_3216Metric,C17903
FAN7371,"U13,U9,U14,U10,U8,U12,U11,U15",SOIC-8_3.9x4.9mm_P1.27mm,C724808
1uF,"C31,C20,C28,C22,C27,C32,C24,C18",C_1206_3216Metric,C1848
ES1D,"D3,D4,D2,D1",D_SOD-123,C7370889
IRLML2402TRPBF,Q9,SOT-23,C2588
74LS00,U5,SOIC-14_3.9x8.7mm_P1.27mm,C74558
1nF,"C12,C8,C11,C7",C_1206_3216Metric,C1845
1kR,R13,R_1206_3216Metric,C1469
74LS86,U4,SOIC-14_3.9x8.7mm_P1.27mm,C2860750
