Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_1206_3216Metric,55.55,-68.205,-90,top
C2,100n,C_1206_3216Metric,58.65,-46.605,0,top
C3,100n,C_1206_3216Metric,56.225,-57.805,180,top
C4,100n,C_1206_3216Metric,55.15,-77.405,90,top
C5,100n,C_1206_3216Metric,66.15,-95.28,90,top
C6,100n,C_1206_3216Metric,55.55,-92.435,-90,top
C7,1n,C_1206_3216Metric,66.55,-60.405,90,top
C8,1n,C_1206_3216Metric,64.05,-64.405,180,top
C9,100n,C_1206_3216Metric,70.325,-57.505,180,top
C10,100n,C_1206_3216Metric,70.35,-72.005,180,top
C11,1n,C_1206_3216Metric,66.15,-75.805,90,top
C12,1n,C_1206_3216Metric,76.55,-74.68,90,top
C13,100n,C_1206_3216Metric,91.575,-51.905,90,top
C14,100n,C_1206_3216Metric,113.675,-55.605,-90,top
C15,100n,C_1206_3216Metric,81.625,-77.475,-90,top
C16,100n,C_1206_3216Metric,118.625,-83.24,-90,top
C17,100n,C_1206_3216Metric,81.075,-64.505,-90,top
C18,1u,C_1206_3216Metric,91.9,-64.61,-90,top
C19,100n,C_1206_3216Metric,130.4,-67.405,0,top
C20,1u,C_1206_3216Metric,138.175,-65.305,180,top
C21,100n,C_1206_3216Metric,81.425,-83.95,-90,top
C22,1u,C_1206_3216Metric,89.625,-90.625,-90,top
C23,100n,C_1206_3216Metric,127.825,-89.34,-90,top
C24,1u,C_1206_3216Metric,135.925,-84.24,-90,top
C25,100n,C_1206_3216Metric,96.675,-67.48,-90,top
C26,100n,C_1206_3216Metric,97.325,-83.64,90,top
C27,1u,C_1206_3216Metric,109.775,-66.005,180,top
C28,1u,C_1206_3216Metric,105.525,-90.24,-90,top
C29,100n,C_1206_3216Metric,113.875,-62.13,-90,top
C30,100n,C_1206_3216Metric,124.95,-93.24,180,top
C31,1u,C_1206_3216Metric,125.975,-66.205,-90,top
C32,1u,C_1206_3216Metric,120.625,-89.64,-90,top
C33,100n,C_1206_3216Metric,55.85,-52.605,-90,top
D1,D,D_SOD-123,68.45,-66.905,-90,top
D2,D,D_SOD-123,75.7,-53.605,180,top
D3,D,D_SOD-123,66.25,-89.205,-90,top
D4,D,D_SOD-123,74.25,-87.755,90,top
Q9,NMOS,SOT-23,56.25,-62.055,0,top
R1,1.3k,R_1206_3216Metric,65.95,-69.605,-90,top
R2,1.3k,R_1206_3216Metric,75.65,-57.305,180,top
R3,1.3k,R_1206_3216Metric,66.15,-81.9425,-90,top
R4,1.3k,R_1206_3216Metric,68.95,-87.705,90,top
R5,10,R_1206_3216Metric,91.575,-58.205,90,top
R6,10,R_1206_3216Metric,134.875,-56.605,90,top
R7,10,R_1206_3216Metric,90.325,-83.8,90,top
R8,10,R_1206_3216Metric,133.025,-83.04,90,top
R9,10,R_1206_3216Metric,99.375,-58.205,90,top
R10,10,R_1206_3216Metric,105.625,-83.74,90,top
R11,10,R_1206_3216Metric,122.375,-55.805,90,top
R12,10,R_1206_3216Metric,121.425,-83.24,90,top
R13,1k,R_1206_3216Metric,60.15,-59.405,90,top
U1,74LS163,SOIC-16_3.9x9.9mm_P1.27mm,60.85,-70.905,0,top
U2,74HC14,SO-14_3.9x8.65mm_P1.27mm,60.875,-82.405,0,top
U4,74LS86,SOIC-14_3.9x8.7mm_P1.27mm,60.875,-93.175,0,top
U5,74LS00,SOIC-14_3.9x8.7mm_P1.27mm,71.575,-94.965,0,top
U6,74HC14,SO-14_3.9x8.65mm_P1.27mm,73.475,-64.815,0,top
U7,74HC14,SO-14_3.9x8.65mm_P1.27mm,71.35,-79.245,0,top
U8,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,131.7,-62.105,0,top
U9,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,86.475,-64.505,0,top
U10,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,84.125,-90.3,0,top
U11,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,132.95,-89.835,0,top
U12,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,102.975,-64.405,0,top
U13,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,99.925,-89.94,0,top
U14,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,119.375,-62.605,0,top
U15,FAN7371,SOIC-8_3.9x4.9mm_P1.27mm,115.325,-89.84,0,top
